QID:56dde0ba66d3e219004dad76	SP:king charles iii of west francia	CP:king charles iii of west francia	Q:Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?	C:In the course of the 10th century, the initially destructive incursions of Norse war bands into the rivers of France evolved into more permanent encampments that included local women and personal property. The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria. The treaty offered Rollo and his men the French lands between the river Epte and the Atlantic coast in exchange for their protection against further Viking incursions. The area corresponded to the northern part of present-day Upper Normandy down to the river Seine, but the Duchy would eventually extend west beyond the Seine. The territory was roughly equivalent to the old province of Rouen, and reproduced the Roman administrative structure of Gallia Lugdunensis II (part of the former Gallia Lugdunensis).	A:[{'text': 'King Charles III', 'answer_start': 324}, {'text': 'King Charles III', 'answer_start': 324}, {'text': 'King Charles III', 'answer_start': 324}]
QID:56dde0ba66d3e219004dad77	SP:duchy would eventually extend west beyond seine	CP:river seine	Q:What river originally bounded the Duchy	C:In the course of the 10th century, the initially destructive incursions of Norse war bands into the rivers of France evolved into more permanent encampments that included local women and personal property. The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria. The treaty offered Rollo and his men the French lands between the river Epte and the Atlantic coast in exchange for their protection against further Viking incursions. The area corresponded to the northern part of present-day Upper Normandy down to the river Seine, but the Duchy would eventually extend west beyond the Seine. The territory was roughly equivalent to the old province of Rouen, and reproduced the Roman administrative structure of Gallia Lugdunensis II (part of the former Gallia Lugdunensis).	A:[{'text': 'Seine', 'answer_start': 711}, {'text': 'Epte', 'answer_start': 524}, {'text': 'Seine', 'answer_start': 711}]
QID:56de10b44396321400ee2595	SP:turkish forces to aid in destruction of armenians vassalstates of sassoun and taron	CP:armenian state	Q:Who did the Normans team up with in Anatolia?	C:Some Normans joined Turkish forces to aid in the destruction of the Armenians vassal-states of Sassoun and Taron in far eastern Anatolia. Later, many took up service with the Armenian state further south in Cilicia and the Taurus Mountains. A Norman named Oursel led a force of "Franks" into the upper Euphrates valley in northern Syria. From 1073 to 1074, 8,000 of the 20,000 troops of the Armenian general Philaretus Brachamius were Normans—formerly of Oursel—led by Raimbaud. They even lent their ethnicity to the name of their castle: Afranji, meaning "Franks." The known trade between Amalfi and Antioch and between Bari and Tarsus may be related to the presence of Italo-Normans in those cities while Amalfi and Bari were under Norman rule in Italy.	A:[{'text': 'Turkish forces', 'answer_start': 20}, {'text': 'Turkish forces', 'answer_start': 20}, {'text': 'Turkish forces', 'answer_start': 20}]
QID:56de11154396321400ee25aa	SP:raoulii were descended from italonorman named raoul	CP:raoulii were descended from italonorman named raoul	Q:What were the origins of the Raouliii family?	C:Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration, when Byzantine emperors were seeking out western European warriors. The Raoulii were descended from an Italo-Norman named Raoul, the Petraliphae were descended from a Pierre d'Aulps, and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038.	A:[{'text': 'Norman mercenary', 'answer_start': 45}, {'text': 'an Italo-Norman named Raoul', 'answer_start': 217}, {'text': 'descended from an Italo-Norman named Raoul', 'answer_start': 202}]
QID:56de15dbcffd8e1900b4b5c8	SP:king ethelred ii of england	CP:king ethelred ii of england	Q:Who did Emma Marry?	C:The Normans were in contact with England from an early date. Not only were their original Viking brethren still ravaging the English coasts, they occupied most of the important ports opposite England across the English Channel. This relationship eventually produced closer ties of blood through the marriage of Emma, sister of Duke Richard II of Normandy, and King Ethelred II of England. Because of this, Ethelred fled to Normandy in 1013, when he was forced from his kingdom by Sweyn Forkbeard. His stay in Normandy (until 1016) influenced him and his sons by Emma, who stayed in Normandy after Cnut the Great's conquest of the isle.	A:[{'text': 'King Ethelred II', 'answer_start': 360}, {'text': 'Ethelred II', 'answer_start': 365}, {'text': 'King Ethelred II', 'answer_start': 360}]
QID:56de15dbcffd8e1900b4b5c9	SP:richard ii of normandy	CP:duke richard ii of normandy	Q:Who was Emma's brother?	C:The Normans were in contact with England from an early date. Not only were their original Viking brethren still ravaging the English coasts, they occupied most of the important ports opposite England across the English Channel. This relationship eventually produced closer ties of blood through the marriage of Emma, sister of Duke Richard II of Normandy, and King Ethelred II of England. Because of this, Ethelred fled to Normandy in 1013, when he was forced from his kingdom by Sweyn Forkbeard. His stay in Normandy (until 1016) influenced him and his sons by Emma, who stayed in Normandy after Cnut the Great's conquest of the isle.	A:[{'text': 'Duke Richard II', 'answer_start': 327}, {'text': 'Duke Richard II', 'answer_start': 327}, {'text': 'Duke Richard II', 'answer_start': 327}]
QID:56de16ca4396321400ee25c6	SP:duke william ii of normandy	CP:duke william ii of normandy	Q:Who killed Harold II? 	C:In 1066, Duke William II of Normandy conquered England killing King Harold II at the Battle of Hastings. The invading Normans and their descendants replaced the Anglo-Saxons as the ruling class of England. The nobility of England were part of a single Normans culture and many had lands on both sides of the channel. Early Norman kings of England, as Dukes of Normandy, owed homage to the King of France for their land on the continent. They considered England to be their most important holding (it brought with it the title of King—an important status symbol).	A:[{'text': 'William II', 'answer_start': 14}, {'text': 'Duke William II', 'answer_start': 9}, {'text': 'Duke William II', 'answer_start': 9}]
QID:56de1728cffd8e1900b4b5d7	SP:	CP:middle english	Q:What was the Anglo-Norman language's final form?	C:Eventually, the Normans merged with the natives, combining languages and traditions. In the course of the Hundred Years' War, the Norman aristocracy often identified themselves as English. The Anglo-Norman language became distinct from the Latin language, something that was the subject of some humour by Geoffrey Chaucer. The Anglo-Norman language was eventually absorbed into the Anglo-Saxon language of their subjects (see Old English) and influenced it, helping (along with the Norse language of the earlier Anglo-Norse settlers and the Latin used by the church) in the development of Middle English. It in turn evolved into Modern English.	A:[{'text': 'Modern English', 'answer_start': 629}, {'text': 'Modern English', 'answer_start': 629}, {'text': 'Modern English', 'answer_start': 629}]
QID:56de49a8cffd8e1900b4b7a8	SP:maciot de bethencourt	CP:enrique pérez de guzmán 2nd count de niebla	Q:Who bought the rights?	C:Bethencourt took the title of King of the Canary Islands, as vassal to Henry III of Castile. In 1418, Jean's nephew Maciot de Bethencourt sold the rights to the islands to Enrique Pérez de Guzmán, 2nd Count de Niebla.	A:[{'text': 'Enrique Pérez de Guzmán', 'answer_start': 172}, {'text': 'Enrique Pérez de Guzmán', 'answer_start': 172}, {'text': 'Enrique Pérez de Guzmán', 'answer_start': 172}]
QID:56de4b074396321400ee2794	SP:early gothic	CP:early gothic	Q:What architecture type came before Norman in England?	C:In England, the period of Norman architecture immediately succeeds that of the Anglo-Saxon and precedes the Early Gothic. In southern Italy, the Normans incorporated elements of Islamic, Lombard, and Byzantine building techniques into their own, initiating a unique style known as Norman-Arab architecture within the Kingdom of Sicily.	A:[{'text': 'Anglo-Saxon', 'answer_start': 79}, {'text': 'Anglo-Saxon', 'answer_start': 79}, {'text': 'Anglo-Saxon', 'answer_start': 79}]
